"w_geocode","C000","CA01","CA02","CA03","CE01","CE02","CE03","CNS01","CNS02","CNS03","CNS04","CNS05","CNS06","CNS07","CNS08","CNS09","CNS10","CNS11","CNS12","CNS13","CNS14","CNS15","CNS16","CNS17","CNS18","CNS19","CNS20","CR01","CR02","CR03","CR04","CR05","CR07","CT01","CT02","CD01","CD02","CD03","CD04","CS01","CS02","CFA01","CFA02","CFA03","CFA04","CFA05","CFS01","CFS02","CFS03","CFS04","CFS05","createdate","county","tract"
"360050004002006",8,2,4,2,1,5,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,8,1,0,3,2,2,6,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005000400"
"360050004003000",6,2,3,1,2,1,3,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,5,1,0,0,2,2,3,3,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005000400"
"360050004003003",16,3,11,2,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,4,12,0,0,0,0,11,5,6,2,2,3,1,15,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005000400"
"360050004003005",5,0,0,5,0,2,3,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,2,3,0,1,4,0,3,2,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005000400"
"360050004003008",37,8,24,5,10,19,8,0,0,0,0,0,0,0,0,0,0,2,0,0,35,0,0,0,0,0,0,21,15,1,0,0,0,11,26,8,6,10,5,15,22,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005000400"
"360050004003009",2,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005000400"
"360050004004000",2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005000400"
"360050004004004",100,50,33,17,48,36,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,53,38,0,9,0,0,77,23,8,11,15,16,46,54,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005000400"
"360050016001000",149,27,89,33,13,41,95,0,0,0,0,0,0,27,0,0,0,31,0,0,0,0,83,0,8,0,0,78,44,3,18,0,6,79,70,24,25,48,25,62,87,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005001600"
"360050016002000",11,4,6,1,4,4,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3,2,0,0,0,0,8,1,0,2,0,0,6,5,2,1,2,2,3,8,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005001600"
"360050016002001",16,5,10,1,1,5,10,0,0,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,4,3,3,0,1,11,5,4,3,1,3,15,1,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005001600"
"360050016002002",131,16,83,32,9,23,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,1,0,0,0,0,78,37,4,10,0,2,93,38,14,20,41,40,51,80,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005001600"
"360050016002004",3,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005001600"
"360050016002005",39,5,21,13,1,7,31,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,37,0,0,1,0,19,18,0,2,0,0,20,19,6,7,13,8,13,26,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005001600"
"360050016003000",8,1,4,3,1,7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,2,6,4,1,2,0,3,5,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005001600"
"360050016004000",381,58,244,79,30,31,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363,18,0,0,0,0,216,117,5,34,0,9,280,101,37,80,92,114,159,222,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005001600"
"360050016004001",326,41,185,100,24,87,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,149,0,0,0,0,140,141,4,33,1,7,234,92,39,57,93,96,130,196,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005001600"
"360050016004005",293,68,169,56,20,48,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,0,205,49,1,31,0,7,223,70,33,45,55,92,154,139,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005001600"
"360050016004010",10,1,8,1,1,2,7,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,5,5,2,4,0,3,10,0,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005001600"
"360050019011005",18,4,4,10,7,3,8,0,0,0,6,1,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,13,4,0,1,0,0,14,4,2,3,4,5,14,4,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005001901"
"360050019011006",55,4,31,20,6,14,35,0,0,0,23,5,0,0,7,0,0,0,0,0,13,0,0,0,0,7,0,42,11,0,2,0,0,30,25,15,10,10,16,45,10,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005001901"
"360050019011010",272,73,167,32,40,94,138,0,0,0,0,2,0,3,176,1,0,3,1,9,0,0,0,0,77,0,0,181,63,4,14,2,8,141,131,42,43,59,55,185,87,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005001901"
"360050019011011",243,96,91,56,52,83,108,0,0,0,15,0,0,1,2,0,0,5,0,0,0,0,122,0,82,16,0,103,122,3,8,2,5,160,83,32,43,38,34,88,155,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005001901"
"360050019011012",21,2,10,9,8,6,7,0,0,0,5,0,0,0,0,0,0,0,0,0,11,0,3,0,0,2,0,15,6,0,0,0,0,9,12,4,6,8,1,18,3,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005001901"
"360050019011013",581,94,359,128,52,158,371,0,0,0,178,0,2,0,175,0,0,45,30,0,116,10,21,0,4,0,0,359,176,7,29,0,10,362,219,118,121,128,120,436,145,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005001901"
"360050019011014",31,12,16,3,4,6,21,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25,0,23,4,2,1,1,0,19,12,2,6,7,4,24,7,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005001901"
"360050019021003",33,4,19,10,1,9,23,0,0,0,21,3,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,21,5,2,5,0,0,22,11,5,5,11,8,27,6,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005001902"
"360050019021009",12,3,6,3,3,2,7,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,5,3,0,3,0,1,9,3,0,2,3,4,8,4,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005001902"
"360050019021012",55,3,24,28,5,8,42,0,0,0,45,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,25,1,0,0,0,40,15,16,13,9,14,44,11,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005001902"
"360050019021013",227,33,161,33,54,41,132,0,0,0,80,14,1,6,0,0,0,0,17,0,0,0,102,4,0,3,0,146,47,2,25,0,7,163,64,41,39,55,59,100,127,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005001902"
"360050019021014",47,9,18,20,1,5,41,0,0,0,3,39,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,35,3,1,8,0,0,35,12,4,6,11,17,26,21,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005001902"
"360050019021015",165,21,82,62,14,24,127,0,0,0,6,103,4,0,52,0,0,0,0,0,0,0,0,0,0,0,0,116,34,0,8,0,7,71,94,32,40,48,24,120,45,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005001902"
"360050019021016",24,5,15,4,1,9,14,0,0,0,0,0,0,3,0,0,0,21,0,0,0,0,0,0,0,0,0,10,12,1,0,0,1,13,11,3,9,4,3,13,11,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005001902"
"360050019021017",54,10,26,18,3,16,35,0,0,0,0,11,0,0,0,0,0,0,3,0,0,0,40,0,0,0,0,19,26,2,7,0,0,33,21,9,11,10,14,24,30,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005001902"
"360050019021018",83,12,46,25,11,14,58,0,0,0,65,0,8,0,0,0,0,5,5,0,0,0,0,0,0,0,0,67,13,0,3,0,0,61,22,14,22,21,14,65,18,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005001902"
"360050019021019",11,4,2,5,3,3,5,0,0,0,2,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,0,1,3,0,0,5,6,2,0,3,2,4,7,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005001902"
"360050019021020",80,21,46,13,1,6,73,0,0,0,10,4,0,14,0,0,0,0,0,0,0,49,0,0,3,0,0,51,19,1,4,0,5,37,43,9,8,26,16,44,36,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005001902"
"360050019021021",128,31,69,28,5,14,109,0,0,0,9,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,94,21,0,12,0,1,103,25,15,25,20,37,84,44,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005001902"
"360050019021022",34,2,17,15,1,10,23,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,4,0,0,23,7,1,2,0,1,18,16,6,10,7,9,28,6,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005001902"
"360050019021033",124,22,68,34,10,40,74,0,0,0,32,0,0,0,0,0,0,0,31,0,0,0,0,0,0,61,0,75,35,6,8,0,0,67,57,17,29,28,28,78,46,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005001902"
"360050019021034",62,23,32,7,7,15,40,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,30,26,1,2,0,3,35,27,11,15,3,10,40,22,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005001902"
"360050019021035",27,10,11,6,13,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,8,3,0,16,0,0,24,3,2,3,2,10,11,16,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005001902"
"360050019021036",32,2,18,12,5,22,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,30,0,16,11,1,3,1,0,20,12,6,7,8,9,25,7,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005001902"
"360050019021037",63,6,32,25,11,25,27,0,0,0,0,37,12,10,4,0,0,0,0,0,0,0,0,0,0,0,0,42,6,1,12,0,2,32,31,17,8,15,17,48,15,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005001902"
"360050019021039",27,9,14,4,6,11,10,0,0,0,0,13,0,0,0,0,0,0,0,0,0,13,0,0,1,0,0,13,6,0,7,0,1,14,13,7,2,4,5,16,11,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005001902"
"360050019021040",64,6,36,22,7,20,37,0,0,0,13,3,35,6,0,0,0,0,7,0,0,0,0,0,0,0,0,46,13,1,0,1,3,24,40,20,12,12,14,50,14,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005001902"
"360050019021042",167,43,91,33,20,94,53,0,0,0,1,155,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,76,47,5,34,0,5,126,41,28,30,27,39,93,74,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005001902"
"360050019021043",226,47,116,63,9,57,160,0,0,0,132,35,48,0,0,0,0,0,3,0,8,0,0,0,0,0,0,162,51,1,6,5,1,108,118,44,36,55,44,187,39,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005001902"
"360050019021049",38,8,24,6,5,20,13,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,25,11,1,1,0,0,20,18,13,6,10,1,31,7,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005001902"
"360050019021050",245,33,115,97,13,138,94,0,0,0,12,1,0,0,0,0,0,0,0,0,2,0,0,0,0,230,0,191,30,3,14,1,6,158,87,51,42,47,72,117,128,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005001902"
"360050019021051",95,11,66,18,5,9,81,0,0,0,87,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,72,17,1,2,0,3,64,31,21,15,27,21,84,11,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005001902"
"360050019031000",21,6,15,0,3,2,16,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,1,0,0,1,18,3,2,6,4,3,15,6,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005001903"
"360050019031001",27,1,17,9,1,14,12,0,0,0,0,26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,23,3,1,0,0,0,6,21,8,3,12,3,9,18,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005001903"
"360050019031003",114,18,72,24,7,15,92,0,0,0,0,69,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,57,28,1,26,0,2,96,18,11,19,35,31,46,68,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005001903"
"360050019031005",115,7,71,37,6,19,90,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,78,32,2,1,0,2,77,38,36,24,28,20,96,19,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005001903"
"360050019031007",9,0,4,5,2,7,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,2,7,4,1,3,1,8,1,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005001903"
"360050019031008",113,24,66,23,10,27,76,0,0,0,4,53,2,18,0,0,1,0,0,0,34,0,0,1,0,0,0,75,33,0,3,0,2,75,38,17,21,27,24,78,35,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005001903"
"360050019031009",115,13,73,29,2,4,109,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,32,0,71,36,3,3,1,1,80,35,22,30,33,17,99,16,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005001903"
"360050019031010",16,3,10,3,0,9,7,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,1,0,0,9,7,6,0,5,2,11,5,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005001903"
"360050019031011",28,0,15,13,2,25,1,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,6,0,0,2,0,5,23,9,7,6,6,11,17,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005001903"
"360050019031012",25,5,13,7,2,4,19,0,0,0,19,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,18,5,0,2,0,0,17,8,2,8,6,4,13,12,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005001903"
"360050019031015",15,0,10,5,2,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,8,3,0,3,0,1,10,5,3,5,1,6,6,9,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005001903"
"360050019032001",75,4,55,16,3,43,29,0,0,0,0,0,4,0,68,0,0,0,0,0,0,0,0,0,0,3,0,40,28,1,4,1,1,46,29,18,18,26,9,53,22,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005001903"
"360050019032004",451,52,239,160,36,267,148,0,0,0,0,0,24,23,381,0,0,0,0,18,0,0,0,0,0,5,0,312,103,9,14,2,11,201,250,135,92,101,71,304,147,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005001903"
"360050019032005",247,26,164,57,8,22,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,134,87,1,21,0,4,190,57,32,43,61,85,101,146,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005001903"
"360050019032007",72,9,48,15,2,5,65,0,0,0,0,0,0,0,0,0,0,12,30,0,30,0,0,0,0,0,0,50,15,0,4,0,3,48,24,13,21,16,13,61,11,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005001903"
"360050019032010",335,35,203,97,8,44,283,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,277,184,116,4,23,0,8,239,96,44,58,93,105,161,174,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005001903"
"360050019032012",270,51,151,68,33,113,124,0,0,0,0,0,2,105,0,0,0,0,0,0,134,0,0,0,29,0,0,152,90,6,17,0,5,162,108,54,63,56,46,169,101,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005001903"
"360050019032014",165,10,94,61,8,12,145,0,0,0,4,127,3,0,29,0,0,2,0,0,0,0,0,0,0,0,0,99,34,8,18,0,6,107,58,32,37,48,38,144,21,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005001903"
"360050020011001",174,33,111,30,7,18,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0,0,88,70,0,12,0,4,127,47,24,36,36,45,53,121,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005002001"
"360050020011002",45,2,30,13,0,2,43,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,1,0,0,0,0,15,26,1,3,0,0,32,13,5,14,18,6,28,17,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005002001"
"360050020012000",8,0,7,1,2,2,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,4,3,0,0,0,1,5,3,3,2,1,2,2,6,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005002001"
"360050020013000",4,0,3,1,0,1,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,1,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005002001"
"360050020021000",4,0,3,1,0,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,3,1,0,0,0,0,0,4,1,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005002002"
"360050020021001",6,2,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,1,0,0,0,0,1,5,1,1,2,0,0,6,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005002002"
"360050020021002",2,1,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005002002"
"360050020021003",42,12,15,15,9,30,3,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,26,8,1,3,0,4,10,32,13,9,5,3,23,19,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005002002"
"360050020021004",25,2,11,12,12,6,7,0,0,0,0,0,0,6,0,0,3,3,0,0,0,0,5,0,8,0,0,9,2,1,13,0,0,19,6,3,3,7,10,11,14,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005002002"
"360050020022001",11,0,10,1,0,3,8,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4,0,0,0,0,0,9,0,0,2,0,0,4,7,2,3,4,2,5,6,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005002002"
"360050020022002",3,1,2,0,1,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005002002"
"360050020022003",5,0,3,2,0,2,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,3,1,2,1,1,2,3,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005002002"
"360050020023000",5,2,2,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,2,0,1,0,1,4,1,0,1,1,1,2,3,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005002002"
"360050020023001",16,2,11,3,0,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,1,3,0,14,2,0,0,0,0,7,9,3,6,2,3,4,12,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005002002"
"360050023001000",51,3,32,16,0,1,50,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,18,29,0,4,0,0,36,15,3,14,14,17,30,21,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005002300"
"360050023001001",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005002300"
"360050023001002",37,4,21,12,17,11,9,0,0,0,0,0,11,0,0,0,0,0,2,0,0,0,0,5,0,19,0,23,12,0,1,0,1,29,8,5,5,12,11,21,16,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005002300"
"360050023002000",335,182,141,12,13,11,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,0,0,0,10,0,192,114,1,21,1,6,231,104,35,44,36,38,65,270,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005002300"
"360050023003000",121,34,65,22,2,9,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,62,46,0,10,0,3,94,27,17,12,30,28,47,74,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005002300"
"360050024001005",189,41,93,55,23,87,79,0,0,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,24,4,0,106,27,5,47,0,4,121,68,37,36,42,33,111,78,0,0,0,0,0,0,0,0,0,0,20251202,"005","36005002400"
