"metric_month","industry","pickup_dropoff","locationid","borough","zone","trip_count"
"2026-07-01","FHV - High Volume","Pick-up","30","Queens","Broad Channel","2039"
"2026-07-01","FHV - High Volume","Drop-off","31","Bronx","Bronx Park","10065"
"2026-07-01","FHV - High Volume","Pick-up","31","Bronx","Bronx Park","8514"
"2026-07-01","FHV - High Volume","Drop-off","32","Bronx","Bronxdale","47416"
"2026-07-01","FHV - High Volume","Pick-up","32","Bronx","Bronxdale","52820"
"2026-07-01","FHV - High Volume","Drop-off","33","Brooklyn","Brooklyn Heights","94107"
"2026-07-01","FHV - High Volume","Pick-up","33","Brooklyn","Brooklyn Heights","98148"
"2026-07-01","FHV - High Volume","Drop-off","34","Brooklyn","Brooklyn Navy Yard","19444"
"2026-07-01","FHV - High Volume","Pick-up","34","Brooklyn","Brooklyn Navy Yard","17799"
"2026-07-01","FHV - High Volume","Drop-off","35","Brooklyn","Brownsville","123020"
"2026-07-01","FHV - High Volume","Pick-up","35","Brooklyn","Brownsville","130606"
"2026-07-01","FHV - High Volume","Drop-off","36","Brooklyn","Bushwick North","157561"
"2026-07-01","FHV - High Volume","Pick-up","36","Brooklyn","Bushwick North","163628"
"2026-07-01","FHV - High Volume","Drop-off","37","Brooklyn","Bushwick South","229909"
"2026-07-01","FHV - High Volume","Pick-up","37","Brooklyn","Bushwick South","233042"
"2026-07-01","FHV - High Volume","Drop-off","38","Queens","Cambria Heights","21745"
"2026-07-01","FHV - High Volume","Pick-up","38","Queens","Cambria Heights","27633"
"2026-07-01","FHV - High Volume","Drop-off","39","Brooklyn","Canarsie","159185"
"2026-07-01","FHV - High Volume","Pick-up","39","Brooklyn","Canarsie","166831"
"2026-07-01","FHV - High Volume","Drop-off","40","Brooklyn","Carroll Gardens","46399"
"2026-07-01","FHV - High Volume","Pick-up","40","Brooklyn","Carroll Gardens","47831"
"2026-07-01","FHV - High Volume","Drop-off","41","Manhattan","Central Harlem","124755"
"2026-07-01","FHV - High Volume","Pick-up","41","Manhattan","Central Harlem","139446"
"2026-07-01","FHV - High Volume","Drop-off","42","Manhattan","Central Harlem North","173788"
"2026-07-01","FHV - High Volume","Pick-up","42","Manhattan","Central Harlem North","193503"
"2026-07-01","FHV - High Volume","Drop-off","43","Manhattan","Central Park","40875"
"2026-07-01","FHV - High Volume","Pick-up","43","Manhattan","Central Park","31320"
"2026-07-01","FHV - High Volume","Drop-off","44","Staten Island","Charleston/Tottenville","10257"
"2026-07-01","FHV - High Volume","Pick-up","44","Staten Island","Charleston/Tottenville","10540"
"2026-07-01","FHV - High Volume","Drop-off","45","Manhattan","Chinatown","46542"
"2026-07-01","FHV - High Volume","Pick-up","45","Manhattan","Chinatown","53975"
"2026-07-01","FHV - High Volume","Drop-off","46","Bronx","City Island","6850"
"2026-07-01","FHV - High Volume","Pick-up","46","Bronx","City Island","5955"
"2026-07-01","FHV - High Volume","Drop-off","47","Bronx","Claremont/Bathgate","67183"
"2026-07-01","FHV - High Volume","Pick-up","47","Bronx","Claremont/Bathgate","71602"
"2026-07-01","FHV - High Volume","Drop-off","48","Manhattan","Clinton East","149414"
"2026-07-01","FHV - High Volume","Pick-up","48","Manhattan","Clinton East","189237"
"2026-07-01","FHV - High Volume","Drop-off","49","Brooklyn","Clinton Hill","118090"
"2026-07-01","FHV - High Volume","Pick-up","49","Brooklyn","Clinton Hill","119536"
"2026-07-01","FHV - High Volume","Drop-off","50","Manhattan","Clinton West","88657"
"2026-07-01","FHV - High Volume","Pick-up","50","Manhattan","Clinton West","107195"
"2026-07-01","FHV - High Volume","Drop-off","51","Bronx","Co-Op City","81996"
"2026-07-01","FHV - High Volume","Pick-up","51","Bronx","Co-Op City","88867"
"2026-07-01","FHV - High Volume","Drop-off","52","Brooklyn","Cobble Hill","26783"
"2026-07-01","FHV - High Volume","Pick-up","52","Brooklyn","Cobble Hill","29639"
"2026-07-01","FHV - High Volume","Drop-off","53","Queens","College Point","35843"
"2026-07-01","FHV - High Volume","Pick-up","53","Queens","College Point","35194"
"2026-07-01","FHV - High Volume","Drop-off","54","Brooklyn","Columbia Street","11056"
"2026-07-01","FHV - High Volume","Pick-up","54","Brooklyn","Columbia Street","11078"
"2026-07-01","FHV - High Volume","Drop-off","55","Brooklyn","Coney Island","69110"
"2026-07-01","FHV - High Volume","Pick-up","55","Brooklyn","Coney Island","67995"
"2026-07-01","FHV - High Volume","Drop-off","56","Queens","Corona","63400"
"2026-07-01","FHV - High Volume","Pick-up","56","Queens","Corona","71420"
"2026-07-01","FHV - High Volume","Drop-off","57","Queens","Corona","5250"
"2026-07-01","FHV - High Volume","Pick-up","57","Queens","Corona","6319"
"2026-07-01","FHV - High Volume","Drop-off","58","Bronx","Country Club","7738"
"2026-07-01","FHV - High Volume","Pick-up","58","Bronx","Country Club","8352"
"2026-07-01","FHV - High Volume","Drop-off","59","Bronx","Crotona Park","3712"
"2026-07-01","FHV - High Volume","Pick-up","59","Bronx","Crotona Park","3023"
"2026-07-01","FHV - High Volume","Drop-off","60","Bronx","Crotona Park East","46040"
"2026-07-01","FHV - High Volume","Pick-up","60","Bronx","Crotona Park East","49737"
"2026-07-01","FHV - High Volume","Drop-off","61","Brooklyn","Crown Heights North","287972"
"2026-07-01","FHV - High Volume","Pick-up","61","Brooklyn","Crown Heights North","275619"
"2026-07-01","FHV - High Volume","Drop-off","62","Brooklyn","Crown Heights South","71060"
"2026-07-01","FHV - High Volume","Pick-up","62","Brooklyn","Crown Heights South","74697"
"2026-07-01","FHV - High Volume","Drop-off","63","Brooklyn","Cypress Hills","69214"
"2026-07-01","FHV - High Volume","Pick-up","63","Brooklyn","Cypress Hills","72169"
"2026-07-01","FHV - High Volume","Drop-off","64","Queens","Douglaston","13659"
"2026-07-01","FHV - High Volume","Pick-up","64","Queens","Douglaston","15353"
"2026-07-01","FHV - High Volume","Drop-off","65","Brooklyn","Downtown Brooklyn/MetroTech","89061"
"2026-07-01","FHV - High Volume","Pick-up","65","Brooklyn","Downtown Brooklyn/MetroTech","99746"
"2026-07-01","FHV - High Volume","Drop-off","66","Brooklyn","DUMBO/Vinegar Hill","73132"
"2026-07-01","FHV - High Volume","Pick-up","66","Brooklyn","DUMBO/Vinegar Hill","81533"
"2026-07-01","FHV - High Volume","Drop-off","67","Brooklyn","Dyker Heights","39005"
"2026-07-01","FHV - High Volume","Pick-up","67","Brooklyn","Dyker Heights","39336"
"2026-07-01","FHV - High Volume","Drop-off","68","Manhattan","East Chelsea","221100"
"2026-07-01","FHV - High Volume","Pick-up","68","Manhattan","East Chelsea","215631"
"2026-07-01","FHV - High Volume","Drop-off","69","Bronx","East Concourse/Concourse Village","109118"
"2026-07-01","FHV - High Volume","Pick-up","69","Bronx","East Concourse/Concourse Village","112209"
"2026-07-01","FHV - High Volume","Drop-off","70","Queens","East Elmhurst","48100"
"2026-07-01","FHV - High Volume","Pick-up","70","Queens","East Elmhurst","53975"
"2026-07-01","FHV - High Volume","Drop-off","71","Brooklyn","East Flatbush/Farragut","92840"
"2026-07-01","FHV - High Volume","Pick-up","71","Brooklyn","East Flatbush/Farragut","94243"
"2026-07-01","FHV - High Volume","Drop-off","72","Brooklyn","East Flatbush/Remsen Village","104070"
"2026-07-01","FHV - High Volume","Pick-up","72","Brooklyn","East Flatbush/Remsen Village","108300"
"2026-07-01","FHV - High Volume","Drop-off","73","Queens","East Flushing","22469"
"2026-07-01","FHV - High Volume","Pick-up","73","Queens","East Flushing","22880"
"2026-07-01","FHV - High Volume","Drop-off","74","Manhattan","East Harlem North","143090"
"2026-07-01","FHV - High Volume","Pick-up","74","Manhattan","East Harlem North","150209"
"2026-07-01","FHV - High Volume","Drop-off","75","Manhattan","East Harlem South","131938"
"2026-07-01","FHV - High Volume","Pick-up","75","Manhattan","East Harlem South","129039"
"2026-07-01","FHV - High Volume","Drop-off","76","Brooklyn","East New York","246983"
"2026-07-01","FHV - High Volume","Pick-up","76","Brooklyn","East New York","248743"
"2026-07-01","FHV - High Volume","Drop-off","77","Brooklyn","East New York/Pennsylvania Avenue","59678"
"2026-07-01","FHV - High Volume","Pick-up","77","Brooklyn","East New York/Pennsylvania Avenue","59227"
"2026-07-01","FHV - High Volume","Drop-off","78","Bronx","East Tremont","92461"
"2026-07-01","FHV - High Volume","Pick-up","78","Bronx","East Tremont","97332"
"2026-07-01","FHV - High Volume","Drop-off","79","Manhattan","East Village","187526"
"2026-07-01","FHV - High Volume","Pick-up","79","Manhattan","East Village","225191"
"2026-07-01","FHV - High Volume","Drop-off","80","Brooklyn","East Williamsburg","156768"
"2026-07-01","FHV - High Volume","Pick-up","80","Brooklyn","East Williamsburg","162145"
"2026-07-01","FHV - High Volume","Drop-off","81","Bronx","Eastchester","57776"
"2026-07-01","FHV - High Volume","Pick-up","81","Bronx","Eastchester","65855"
"2026-07-01","FHV - High Volume","Drop-off","82","Queens","Elmhurst","162683"
"2026-07-01","FHV - High Volume","Pick-up","82","Queens","Elmhurst","166715"
"2026-07-01","FHV - High Volume","Drop-off","83","Queens","Elmhurst/Maspeth","52339"
"2026-07-01","FHV - High Volume","Pick-up","83","Queens","Elmhurst/Maspeth","55145"
"2026-07-01","FHV - High Volume","Drop-off","84","Staten Island","Eltingville/Annadale/Prince's Bay","9729"
"2026-07-01","FHV - High Volume","Pick-up","84","Staten Island","Eltingville/Annadale/Prince's Bay","10240"
"2026-07-01","FHV - High Volume","Drop-off","85","Brooklyn","Erasmus","70219"
"2026-07-01","FHV - High Volume","Pick-up","85","Brooklyn","Erasmus","70329"
"2026-07-01","FHV - High Volume","Drop-off","86","Queens","Far Rockaway","41592"
"2026-07-01","FHV - High Volume","Pick-up","86","Queens","Far Rockaway","49137"
"2026-07-01","FHV - High Volume","Drop-off","87","Manhattan","Financial District North","116867"
"2026-07-01","FHV - High Volume","Pick-up","87","Manhattan","Financial District North","127081"
"2026-07-01","FHV - High Volume","Drop-off","88","Manhattan","Financial District South","58089"
"2026-07-01","FHV - High Volume","Pick-up","88","Manhattan","Financial District South","56435"
"2026-07-01","FHV - High Volume","Drop-off","89","Brooklyn","Flatbush/Ditmas Park","167259"
"2026-07-01","FHV - High Volume","Pick-up","89","Brooklyn","Flatbush/Ditmas Park","164573"
"2026-07-01","FHV - High Volume","Drop-off","90","Manhattan","Flatiron","102919"
"2026-07-01","FHV - High Volume","Pick-up","90","Manhattan","Flatiron","126204"
"2026-07-01","FHV - High Volume","Drop-off","91","Brooklyn","Flatlands","97300"
"2026-07-01","FHV - High Volume","Pick-up","91","Brooklyn","Flatlands","105001"
"2026-07-01","FHV - High Volume","Drop-off","92","Queens","Flushing","120036"
"2026-07-01","FHV - High Volume","Pick-up","92","Queens","Flushing","122792"
"2026-07-01","FHV - High Volume","Drop-off","93","Queens","Flushing Meadows-Corona Park","28640"
"2026-07-01","FHV - High Volume","Pick-up","93","Queens","Flushing Meadows-Corona Park","18724"
"2026-07-01","FHV - High Volume","Drop-off","94","Bronx","Fordham South","42071"
"2026-07-01","FHV - High Volume","Pick-up","94","Bronx","Fordham South","47325"
"2026-07-01","FHV - High Volume","Drop-off","95","Queens","Forest Hills","157047"
"2026-07-01","FHV - High Volume","Pick-up","95","Queens","Forest Hills","154786"
"2026-07-01","FHV - High Volume","Drop-off","96","Queens","Forest Park/Highland Park","4494"
"2026-07-01","FHV - High Volume","Pick-up","96","Queens","Forest Park/Highland Park","3911"
"2026-07-01","FHV - High Volume","Drop-off","97","Brooklyn","Fort Greene","129791"
"2026-07-01","FHV - High Volume","Pick-up","97","Brooklyn","Fort Greene","141893"
"2026-07-01","FHV - High Volume","Drop-off","98","Queens","Fresh Meadows","20882"
"2026-07-01","FHV - High Volume","Pick-up","98","Queens","Fresh Meadows","20178"
"2026-07-01","FHV - High Volume","Drop-off","99","Staten Island","Freshkills Park","702"
"2026-07-01","FHV - High Volume","Pick-up","99","Staten Island","Freshkills Park","699"
"2026-07-01","FHV - High Volume","Drop-off","100","Manhattan","Garment District","90868"
"2026-07-01","FHV - High Volume","Pick-up","100","Manhattan","Garment District","117779"
"2026-07-01","FHV - High Volume","Drop-off","101","Queens","Glen Oaks","15441"
"2026-07-01","FHV - High Volume","Pick-up","101","Queens","Glen Oaks","21774"
"2026-07-01","FHV - High Volume","Drop-off","102","Queens","Glendale","54883"
"2026-07-01","FHV - High Volume","Pick-up","102","Queens","Glendale","55223"
"2026-07-01","FHV - High Volume","Drop-off","105","Manhattan","Governor's Island/Ellis Island/Liberty Island","5"
"2026-07-01","FHV - High Volume","Pick-up","105","Manhattan","Governor's Island/Ellis Island/Liberty Island","2"
"2026-07-01","FHV - High Volume","Drop-off","106","Brooklyn","Gowanus","44902"
"2026-07-01","FHV - High Volume","Pick-up","106","Brooklyn","Gowanus","47864"
"2026-07-01","FHV - High Volume","Drop-off","107","Manhattan","Gramercy","117052"
"2026-07-01","FHV - High Volume","Pick-up","107","Manhattan","Gramercy","133425"
"2026-07-01","FHV - High Volume","Drop-off","108","Brooklyn","Gravesend","31602"
"2026-07-01","FHV - High Volume","Pick-up","108","Brooklyn","Gravesend","32079"
"2026-07-01","FHV - High Volume","Drop-off","109","Staten Island","Great Kills","15032"
"2026-07-01","FHV - High Volume","Pick-up","109","Staten Island","Great Kills","16022"
"2026-07-01","FHV - High Volume","Drop-off","110","Staten Island","Great Kills Park","103"
"2026-07-01","FHV - High Volume","Pick-up","110","Staten Island","Great Kills Park","70"
"2026-07-01","FHV - High Volume","Drop-off","111","Brooklyn","Green-Wood Cemetery","1115"
"2026-07-01","FHV - High Volume","Pick-up","111","Brooklyn","Green-Wood Cemetery","943"
"2026-07-01","FHV - High Volume","Drop-off","112","Brooklyn","Greenpoint","201507"
"2026-07-01","FHV - High Volume","Pick-up","112","Brooklyn","Greenpoint","208539"
"2026-07-01","FHV - High Volume","Drop-off","113","Manhattan","Greenwich Village North","80321"
"2026-07-01","FHV - High Volume","Pick-up","113","Manhattan","Greenwich Village North","99565"
"2026-07-01","FHV - High Volume","Drop-off","114","Manhattan","Greenwich Village South","92134"
"2026-07-01","FHV - High Volume","Pick-up","114","Manhattan","Greenwich Village South","107920"
"2026-07-01","FHV - High Volume","Drop-off","115","Staten Island","Grymes Hill/Clifton","15575"
"2026-07-01","FHV - High Volume","Pick-up","115","Staten Island","Grymes Hill/Clifton","18082"
"2026-07-01","FHV - High Volume","Drop-off","116","Manhattan","Hamilton Heights","87510"
"2026-07-01","FHV - High Volume","Pick-up","116","Manhattan","Hamilton Heights","95480"
"2026-07-01","FHV - High Volume","Drop-off","117","Queens","Hammels/Arverne","36253"
"2026-07-01","FHV - High Volume","Pick-up","117","Queens","Hammels/Arverne","40308"
"2026-07-01","FHV - High Volume","Drop-off","118","Staten Island","Heartland Village/Todt Hill","23939"
"2026-07-01","FHV - High Volume","Pick-up","118","Staten Island","Heartland Village/Todt Hill","22571"
"2026-07-01","FHV - High Volume","Drop-off","119","Bronx","Highbridge","74636"
"2026-07-01","FHV - High Volume","Pick-up","119","Bronx","Highbridge","73351"
"2026-07-01","FHV - High Volume","Drop-off","120","Manhattan","Highbridge Park","3338"
"2026-07-01","FHV - High Volume","Pick-up","120","Manhattan","Highbridge Park","2327"
"2026-07-01","FHV - High Volume","Drop-off","121","Queens","Hillcrest/Pomonok","43076"
"2026-07-01","FHV - High Volume","Pick-up","121","Queens","Hillcrest/Pomonok","43923"
"2026-07-01","FHV - High Volume","Drop-off","122","Queens","Hollis","24991"
"2026-07-01","FHV - High Volume","Pick-up","122","Queens","Hollis","28724"
"2026-07-01","FHV - High Volume","Drop-off","123","Brooklyn","Homecrest","55030"
"2026-07-01","FHV - High Volume","Pick-up","123","Brooklyn","Homecrest","52202"
"2026-07-01","FHV - High Volume","Drop-off","124","Queens","Howard Beach","32863"
"2026-07-01","FHV - High Volume","Pick-up","124","Queens","Howard Beach","35045"
"2026-07-01","FHV - High Volume","Drop-off","125","Manhattan","Hudson Sq","60121"
"2026-07-01","FHV - High Volume","Pick-up","125","Manhattan","Hudson Sq","70151"
"2026-07-01","FHV - High Volume","Drop-off","126","Bronx","Hunts Point","77766"
"2026-07-01","FHV - High Volume","Pick-up","126","Bronx","Hunts Point","67360"
"2026-07-01","FHV - High Volume","Drop-off","127","Manhattan","Inwood","79127"
"2026-07-01","FHV - High Volume","Pick-up","127","Manhattan","Inwood","82226"
"2026-07-01","FHV - High Volume","Drop-off","128","Manhattan","Inwood Hill Park","7989"
"2026-07-01","FHV - High Volume","Pick-up","128","Manhattan","Inwood Hill Park","6464"
"2026-07-01","FHV - High Volume","Drop-off","129","Queens","Jackson Heights","160440"
"2026-07-01","FHV - High Volume","Pick-up","129","Queens","Jackson Heights","176953"
"2026-07-01","FHV - High Volume","Drop-off","130","Queens","Jamaica","182982"
"2026-07-01","FHV - High Volume","Pick-up","130","Queens","Jamaica","181381"
"2026-07-01","FHV - High Volume","Drop-off","131","Queens","Jamaica Estates","34405"
"2026-07-01","FHV - High Volume","Pick-up","131","Queens","Jamaica Estates","34464"
"2026-07-01","FHV - High Volume","Drop-off","132","Queens","JFK Airport","428629"
"2026-07-01","FHV - High Volume","Pick-up","132","Queens","JFK Airport","373091"
"2026-07-01","FHV - High Volume","Drop-off","133","Brooklyn","Kensington","36507"
"2026-07-01","FHV - High Volume","Pick-up","133","Brooklyn","Kensington","37097"
"2026-07-01","FHV - High Volume","Drop-off","134","Queens","Kew Gardens","50955"
"2026-07-01","FHV - High Volume","Pick-up","134","Queens","Kew Gardens","51302"
"2026-07-01","FHV - High Volume","Drop-off","135","Queens","Kew Gardens Hills","32683"
"2026-07-01","FHV - High Volume","Pick-up","135","Queens","Kew Gardens Hills","35452"
"2026-07-01","FHV - High Volume","Drop-off","136","Bronx","Kingsbridge Heights","51162"
"2026-07-01","FHV - High Volume","Pick-up","136","Bronx","Kingsbridge Heights","54329"
"2026-07-01","FHV - High Volume","Drop-off","137","Manhattan","Kips Bay","101692"
"2026-07-01","FHV - High Volume","Pick-up","137","Manhattan","Kips Bay","102216"
"2026-07-01","FHV - High Volume","Drop-off","138","Queens","LaGuardia Airport","450646"
"2026-07-01","FHV - High Volume","Pick-up","138","Queens","LaGuardia Airport","415137"
"2026-07-01","FHV - High Volume","Drop-off","139","Queens","Laurelton","39676"
"2026-07-01","FHV - High Volume","Pick-up","139","Queens","Laurelton","46866"
"2026-07-01","FHV - High Volume","Drop-off","140","Manhattan","Lenox Hill East","119937"
"2026-07-01","FHV - High Volume","Pick-up","140","Manhattan","Lenox Hill East","111226"
"2026-07-01","FHV - High Volume","Drop-off","141","Manhattan","Lenox Hill West","100879"
"2026-07-01","FHV - High Volume","Pick-up","141","Manhattan","Lenox Hill West","115417"
"2026-07-01","FHV - High Volume","Drop-off","142","Manhattan","Lincoln Square East","115239"
"2026-07-01","FHV - High Volume","Pick-up","142","Manhattan","Lincoln Square East","124272"
"2026-07-01","FHV - High Volume","Drop-off","143","Manhattan","Lincoln Square West","63951"
"2026-07-01","FHV - High Volume","Pick-up","143","Manhattan","Lincoln Square West","83918"
"2026-07-01","FHV - High Volume","Drop-off","144","Manhattan","Little Italy/NoLiTa","111480"
"2026-07-01","FHV - High Volume","Pick-up","144","Manhattan","Little Italy/NoLiTa","137924"
"2026-07-01","FHV - High Volume","Drop-off","145","Queens","Long Island City/Hunters Point","189077"
"2026-07-01","FHV - High Volume","Pick-up","145","Queens","Long Island City/Hunters Point","194631"
"2026-07-01","FHV - High Volume","Drop-off","146","Queens","Long Island City/Queens Plaza","55727"
"2026-07-01","FHV - High Volume","Pick-up","146","Queens","Long Island City/Queens Plaza","55621"
"2026-07-01","FHV - High Volume","Drop-off","147","Bronx","Longwood","42306"
"2026-07-01","FHV - High Volume","Pick-up","147","Bronx","Longwood","44141"
"2026-07-01","FHV - High Volume","Drop-off","148","Manhattan","Lower East Side","155152"
"2026-07-01","FHV - High Volume","Pick-up","148","Manhattan","Lower East Side","199946"
"2026-07-01","FHV - High Volume","Drop-off","149","Brooklyn","Madison","47944"
"2026-07-01","FHV - High Volume","Pick-up","149","Brooklyn","Madison","49406"
"2026-07-01","FHV - High Volume","Drop-off","150","Brooklyn","Manhattan Beach","27410"
"2026-07-01","FHV - High Volume","Pick-up","150","Brooklyn","Manhattan Beach","24282"
"2026-07-01","FHV - High Volume","Drop-off","151","Manhattan","Manhattan Valley","49535"
"2026-07-01","FHV - High Volume","Pick-up","151","Manhattan","Manhattan Valley","53805"
"2026-07-01","FHV - High Volume","Drop-off","152","Manhattan","Manhattanville","46028"
"2026-07-01","FHV - High Volume","Pick-up","152","Manhattan","Manhattanville","46229"
"2026-07-01","FHV - High Volume","Drop-off","153","Manhattan","Marble Hill","16823"
"2026-07-01","FHV - High Volume","Pick-up","153","Manhattan","Marble Hill","20422"
"2026-07-01","FHV - High Volume","Drop-off","154","Brooklyn","Marine Park/Floyd Bennett Field","2675"
"2026-07-01","FHV - High Volume","Pick-up","154","Brooklyn","Marine Park/Floyd Bennett Field","2218"
"2026-07-01","FHV - High Volume","Drop-off","155","Brooklyn","Marine Park/Mill Basin","62260"
"2026-07-01","FHV - High Volume","Pick-up","155","Brooklyn","Marine Park/Mill Basin","59570"
"2026-07-01","FHV - High Volume","Drop-off","156","Staten Island","Mariners Harbor","26070"
"2026-07-01","FHV - High Volume","Pick-up","156","Staten Island","Mariners Harbor","31112"
"2026-07-01","FHV - High Volume","Drop-off","157","Queens","Maspeth","71549"
"2026-07-01","FHV - High Volume","Pick-up","157","Queens","Maspeth","73082"
"2026-07-01","FHV - High Volume","Drop-off","158","Manhattan","Meatpacking/West Village West","95661"
"2026-07-01","FHV - High Volume","Pick-up","158","Manhattan","Meatpacking/West Village West","107420"
"2026-07-01","FHV - High Volume","Drop-off","159","Bronx","Melrose South","101579"
"2026-07-01","FHV - High Volume","Pick-up","159","Bronx","Melrose South","99828"
"2026-07-01","FHV - High Volume","Drop-off","160","Queens","Middle Village","51725"
"2026-07-01","FHV - High Volume","Pick-up","160","Queens","Middle Village","50124"
"2026-07-01","FHV - High Volume","Drop-off","161","Manhattan","Midtown Center","207045"
"2026-07-01","FHV - High Volume","Pick-up","161","Manhattan","Midtown Center","248125"
"2026-07-01","FHV - High Volume","Drop-off","162","Manhattan","Midtown East","174881"
"2026-07-01","FHV - High Volume","Pick-up","162","Manhattan","Midtown East","167364"
"2026-07-01","FHV - High Volume","Drop-off","163","Manhattan","Midtown North","135259"
"2026-07-01","FHV - High Volume","Pick-up","163","Manhattan","Midtown North","159000"
"2026-07-01","FHV - High Volume","Drop-off","164","Manhattan","Midtown South","166913"
"2026-07-01","FHV - High Volume","Pick-up","164","Manhattan","Midtown South","202372"
"2026-07-01","FHV - High Volume","Drop-off","165","Brooklyn","Midwood","54419"
